weekday,day,month,year,time,aircraft_type,num_of_engines,engine_type,engine_model,years_active,airframe_hrs,operator,occupants,accident_loc,above_ocean,flight_phase,damage,accident_latitude,accident_longtitude,fatalities
7,12.0,10,1946,18.25,214,4.0,1,119,0.0,1195.0,2124,8.0,188,0,6.0,3.0,39.678722,-75.606528,0.0
1,10.0,11,1946,17.28333333,137,2.0,1,117,4.0,8819.0,760,22.0,188,0,6.0,3.0,32.332639,-88.751861,0.0
5,14.0,11,1946,18.83333333,137,2.0,1,80,2.0,2019.0,1202,26.0,123,0,7.0,4.0,52.308613,4.763889,26.0
3,19.0,11,1946,13.56666667,137,2.0,1,80,3.0,3561.0,2208,11.0,170,0,5.0,3.0,46.609651,8.188076,0.0
5,19.0,12,1946,13.56666667,137,2.0,1,80,2.0,2374.0,1679,5.0,187,0,4.0,3.0,51.5598,-0.39702,0.0
7,28.0,12,1946,13.56666667,214,4.0,1,119,1.0,1098.0,2124,23.0,87,0,7.0,3.0,52.710234,-8.941541,9.0
1,5.0,1,1947,20.5,137,2.0,1,80,2.0,938.0,1474,23.0,188,0,7.0,2.0,39.442836,-75.121114,3.0
4,22.0,1,1947,13.56666667,137,2.0,1,80,3.0,3561.0,2012,41.0,53,0,4.0,3.0,-2.196361,-79.868398,0.0
7,25.0,1,1947,11.68333333,137,2.0,1,80,3.0,3561.0,1950,23.0,187,0,3.0,3.0,51.35102,-0.119343,12.0
1,26.0,1,1947,13.56666667,137,2.0,1,80,3.0,1686.0,1202,22.0,48,0,3.0,4.0,55.618048,12.657458,22.0
7,15.0,2,1947,12.66666667,138,4.0,1,81,3.0,3561.0,457,53.0,37,0,5.0,4.0,4.9092,-76.330555,53.0
7,8.0,3,1947,14.98333333,137,2.0,1,80,5.0,5935.0,2264,9.0,37,0,5.0,4.0,4.344,-73.773,9.0
6,14.0,3,1947,14.0,137,2.0,1,80,3.0,3561.0,222,23.0,63,0,5.0,4.0,45.0049,5.5646,23.0
4,9.0,4,1947,13.56666667,137,2.0,1,80,3.0,3561.0,2208,21.0,188,0,3.0,3.0,29.384228,-98.581108,1.0
1,13.0,4,1947,13.56666667,33,4.0,1,97,1.0,1187.0,567,15.0,153,0,6.0,3.0,14.739708,-17.490225,6.0
1,11.0,5,1947,9.65,214,4.0,1,119,2.0,2214.0,2124,4.0,188,0,8.0,3.0,38.9865,-75.0942,4.0
5,29.0,5,1947,12.8,137,2.0,1,80,3.0,3561.0,921,25.0,81,0,5.0,3.0,66.15,-18.8,25.0
3,1.0,7,1947,13.56666667,33,4.0,1,97,16.320683111964417,19379.0,1722,5.0,187,0,7.0,3.0,52.269833,0.063282,5.0
5,24.0,7,1947,13.5,33,4.0,1,97,1.0,1187.0,920,6.0,6,0,6.0,3.0,-34.665,-58.639,2.0
7,2.0,8,1947,14.75,34,4.0,1,97,2.0,1655.0,567,11.0,6,0,5.0,4.0,-33.3575,-69.728889,11.0
4,3.0,9,1947,13.56666667,137,2.0,1,80,4.0,4748.0,1055,15.0,70,0,7.0,3.0,37.844817,23.754963,3.0
6,19.0,9,1947,13.56666667,138,4.0,1,81,2.0,2374.0,2206,14.0,139,0,5.0,3.0,-15.395222,-75.209902,14.0
6,24.0,10,1947,12.48333333,139,4.0,1,83,0.0,933.0,2198,52.0,188,0,5.0,4.0,37.6894,-112.129,52.0
5,30.0,10,1947,5.666666667,213,2.0,1,117,6.0,1456.0,1186,2.0,10,0,8.0,4.0,-32.305158,150.913761,2.0
3,18.0,11,1947,13.0,214,4.0,1,119,2.743049705139006,3256.0,2124,5.0,188,0,7.0,3.0,39.67566,-75.60298,5.0
1,30.0,11,1947,14.41666667,138,4.0,1,81,4.0,5548.0,353,28.0,188,0,6.0,3.0,47.449,-122.309306,8.0
7,27.0,12,1947,12.66666667,137,2.0,1,80,3.0,3561.0,1202,15.0,123,0,7.0,3.0,53.204293,5.802174,0.0
